Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
FOXM1,0.700712,19,201,K-562
STAT3,0.700195,14,201,MDA-MB-453
E2F1,0.697626,67,201,Unclassified
JUN,0.695325,10,201,LNCAP
STAT3,0.693452,43,201,JB6
TP53,0.69273,1,201,22Rv1
TP53,0.69273,1,201,K-562
SMAD3,0.691011,3,201,hESC H9
STAT3,0.689709,46,201,U-2932
JUN,0.688415,75,201,A549
JUN,0.685694,24,201,Uterin leiomyoma
SMAD3,0.680011,77,201,BT67
E2F1,0.677393,59,201,Unclassified
JUN,0.676561,79,201,T-47D
STAT3,0.672908,57,201,MCF-7
STAT3,0.669417,3,201,MDA-MB-361
JUN,0.668667,45,201,K-562
STAT3,0.667812,4,201,MCF-7
JUN,0.667578,41,201,Myometrium
JUN,0.663042,4,201,Uterin leiomyoma
STAT3,0.662002,50,201,MCF-7
TP53,0.659984,37,201,PC-9
TP53,0.65834,1,201,GP5d
E2F1,0.651991,59,201,HeLa
JUN,0.649051,56,201,KARPAS-299
FOXM1,0.64796,58,201,GM12878
SOX9,0.646171,29,201,MCF-7
SMAD3,0.643197,72,201,SUM 159PT
TP53,0.640178,4,201,A549
TP53,0.640178,3,201,T cells
JUN,0.63652,6,201,A549
TP53,0.635386,32,201,PC-9
E2F1,0.632677,57,201,Unclassified
JUN,0.632671,68,201,A549
TP53,0.631469,1,201,Foreskin
STAT3,0.63102,67,201,SU-DHL-6
JUN,0.628729,64,201,Ishikawa
JUN,0.627817,69,201,A549
SMAD3,0.62575,67,201,BT67
JUN,0.625158,62,201,A549
STAT3,0.622992,6,201,SU-DHL-10
E2F1,0.621987,54,201,Unclassified
E2F1,0.620461,51,201,Unclassified
E2F1,0.619737,46,201,HeLa
TCF4,0.618839,2,201,MCF 10A
TP53,0.618839,2,201,hESC H9
JUN,0.616311,13,201,A549
FOXM1,0.616271,16,201,MCF-7
STAT3,0.614741,21,201,MCF-7
TP53,0.610697,2,201,K-562
JUN,0.608589,19,201,A549
STAT3,0.606705,2,201,hESC derived mesendodermal cells
TP53,0.606705,1,201,MCF 10A
FOXM1,0.604291,18,201,MCF-7
TP53,0.598877,1,201,MCF 10A
SMAD3,0.598142,42,201,PC-3
FOXM1,0.594086,4,201,HuH-7
E2F1,0.593516,40,201,hTERT RPE-1
JUN,0.586074,57,201,LoVo
JUN,0.584714,57,201,A549
JUN,0.582948,17,201,Myometrium
JUN,0.58107,4,201,BIN-67
JUN,0.578493,13,201,A549
JUN,0.577327,14,201,A549
STAT3,0.576185,48,201,SU-DHL-4
FOXM1,0.572615,46,201,MDA-MB-231
SOX9,0.571546,17,201,LoVo
TP53,0.569484,3,201,Saos-2
TP53,0.569484,1,201,MCF 10A
JUN,0.568941,45,201,A549
TP53,0.566011,1,201,Erythroblasts
FOXM1,0.563895,13,201,K-562
FOXM1,0.562581,4,201,HuH-7
TP53,0.562581,1,201,LNCAP
STAT3,0.56224,40,201,OCI-LY-7
SNAI2,0.560317,42,201,PC-9
TCF4,0.560317,3,201,MCF 10A
SOX9,0.55858,11,201,HT-29
JUN,0.555905,54,201,A549
TP53,0.555013,4,201,Hep G2
JUN,0.554841,53,201,A549
STAT3,0.553413,15,201,FaDu
FOXM1,0.552535,1,201,293
STAT3,0.54897,11,201,OCI-LY-3
TP53,0.547645,2,201,hESC derived ectodermal cells
E2F1,0.547609,45,201,HMEC
FOXM1,0.545633,16,201,ECC-1
E2F1,0.5455,48,201,hTERT RPE-1
FOXM1,0.543477,10,201,293
E2F1,0.540251,50,201,LNCAP
JUN,0.538481,13,201,A549
SMAD3,0.537602,3,201,MCF 10A
JUN,0.537031,20,201,Uterin leiomyoma
E2F1,0.536049,42,201,MM.1S
JUN,0.525926,2,201,CAR-T cells
SOX9,0.524609,35,201,HT-29
SOX9,0.52444,1,201,LNCAP
FOXM1,0.522668,5,201,HeLa
JUN,0.522472,15,201,A549
JUN,0.521424,42,201,A549
E2F1,0.51858,1,201,Wharton Jelly
TP53,0.51858,1,201,T cells
JUN,0.51812,44,201,A549
STAT3,0.517136,2,201,hESC derived mesendodermal cells
JUN,0.516757,38,201,A549
JUN,0.515699,1,201,BIN-67
JUN,0.515495,14,201,A549
SMAD3,0.514271,2,201,K-562
SMAD3,0.514004,32,201,Hep G2
SNAI2,0.513559,4,201,SK-N-SH
TCF4,0.510032,2,201,MCF 10A
TP53,0.504488,2,201,Saos-2
JUN,0.494946,42,201,A549
TP53,0.491142,1,201,hESC derived mesodermal cells
E2F1,0.488638,32,201,Unclassified
JUN,0.487664,23,201,A549
JUN,0.485999,5,201,Uterin leiomyoma
JUN,0.480963,8,201,Uterin leiomyoma
JUN,0.48058,39,201,A549
SMAD3,0.480098,23,201,Hep G2
JUN,0.478411,34,201,A549
TP53,0.47706,38,201,Fibroblasts
FOXM1,0.472156,10,201,MDA-MB-231
JUN,0.466281,13,201,Hep G2
TP53,0.464129,1,201,MCF-7
JUN,0.462911,19,201,A549
JUN,0.45727,32,201,A549
JUN,0.45727,1,201,HUVEC
FOXM1,0.45727,1,201,MCF-7
TP53,0.45727,1,201,T cells
E2F1,0.453386,23,201,Unclassified
STAT3,0.452074,3,201,hESC HUES64
E2F1,0.448899,28,201,LNCAP
E2F1,0.447585,28,201,K-562
TP53,0.447138,5,201,Saos-2
STAT3,0.444235,23,201,SU-DHL-2
E2F1,0.443931,30,201,LNCAP
FOXM1,0.440978,4,201,MCF-7
STAT3,0.439412,8,201,MCF-7
JUN,0.437858,4,201,SCCOHT-1
FOXM1,0.437858,10,201,K-562
STAT3,0.431594,13,201,Naive B cells
