GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
LOC105372106-2,-1.005262704,0.805404059,0.805404059,*,LOC105372106
LOC105372107-2,0.116818008,0.974265636,0.974265636,*,LOC105372107
LOC105372115,1.742123763,0.383880322,0.383880322,*,LOC105372115
LOC105372130,-1.828313995,0.651239241,0.651239241,*,LOC105372130
LOC105372141,0.264760317,0.774030713,0.774030713,*,LOC105372141
LOC105372159,0.918290647,0.821944146,0.821944146,*,LOC105372159
LOC105372165,-0.030523777,0.991425738,0.991425738,*,LOC105372165
LOC105372190,0.051555565,0.863262431,0.863262431,*,LOC105372190
LOC105372234,0.044309535,0.952256075,0.952256075,*,LOC105372234
LOC105372236,-1.655866119,0.310659503,0.310659503,*,LOC105372236
LOC105372245,0.283968234,0.825065779,0.825065779,*,LOC105372245
LOC105372250,1.430297167,0.324325479,0.324325479,*,LOC105372250
LOC105372253,2.125784265,0.208496351,0.208496351,*,LOC105372253
LOC105372255,-0.02091361,0.99353916,0.99353916,*,LOC105372255
LOC105372266,0.501926403,0.605675172,0.605675172,*,LOC105372266
LOC105372268,-0.952134618,0.796802613,0.796802613,*,LOC105372268
LOC105372279,-3.141727002,0.185687979,0.185687979,*,LOC105372279
LOC105372281,-1.996874091,0.620212066,0.620212066,*,LOC105372281
LOC105372295,0.463337095,0.743809531,0.743809531,*,LOC105372295
LOC105372296,1.24362532,0.391653122,0.391653122,*,LOC105372296
LOC105372300,2.920898132,0.10486375,0.10486375,*,LOC105372300
LOC105372309,0.918290647,0.821944146,0.821944146,*,LOC105372309
LOC105372310,0.2917418,0.23687948,0.23687948,*,LOC105372310
LOC105372321,-0.003305851,0.999285334,0.999285334,*,LOC105372321
LOC105372323,1.037429763,0.713947412,0.713947412,*,LOC105372323
LOC105372338,-2.228937188,0.439027646,0.439027646,*,LOC105372338
LOC105372356,2.336228069,0.559038019,0.559038019,*,LOC105372356
LOC105372358,-1.005262704,0.805404059,0.805404059,*,LOC105372358
LOC105372370,1.7826395,0.659091782,0.659091782,*,LOC105372370
LOC105372383,0.945190702,0.814360322,0.814360322,*,LOC105372383
